"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 31 15:10:49 GMT 2023","Tue Jan 31 15:10:51 GMT 2023","1807","tests","test_acp1","","","","test_go_to_gl21_from_acp1",""
"passed","Tue Jan 31 15:11:20 GMT 2023","Tue Jan 31 15:11:22 GMT 2023","1713","tests","test_aqua","","","","test_go_to_gl7_from_aqua",""
"passed","Tue Jan 31 15:11:07 GMT 2023","Tue Jan 31 15:11:08 GMT 2023","1666","tests","test_aqua","","","","test_click_on_logo_aqua",""
"passed","Tue Jan 31 15:11:38 GMT 2023","Tue Jan 31 15:11:39 GMT 2023","1318","tests","test_aqua","","","","test_up_button_aqua",""
"passed","Tue Jan 31 15:10:39 GMT 2023","Tue Jan 31 15:10:41 GMT 2023","1753","tests","test_acp1","","","","test_go_to_aqua_page_from_acp1",""
"passed","Tue Jan 31 15:11:52 GMT 2023","Tue Jan 31 15:11:53 GMT 2023","1680","tests","test_gl21","","","","test_go_to_aqua_page_from_gl21",""
"passed","Tue Jan 31 15:11:47 GMT 2023","Tue Jan 31 15:11:49 GMT 2023","1527","tests","test_gl21","","","","test_go_to_main_page_from_gl21",""
"passed","Tue Jan 31 15:12:23 GMT 2023","Tue Jan 31 15:12:25 GMT 2023","1518","tests","test_gl7","","","","test_go_to_main_page_from_gl7",""
"passed","Tue Jan 31 15:13:24 GMT 2023","Tue Jan 31 15:13:24 GMT 2023","81","tests","test_main","","","","test_video",""
"passed","Tue Jan 31 15:10:54 GMT 2023","Tue Jan 31 15:10:55 GMT 2023","1628","tests","test_acp1","","","","test_go_to_acp1_from_acp1",""
"passed","Tue Jan 31 15:13:21 GMT 2023","Tue Jan 31 15:13:21 GMT 2023","188","tests","test_main","","","","test_up_button",""
"passed","Tue Jan 31 15:11:15 GMT 2023","Tue Jan 31 15:11:17 GMT 2023","1588","tests","test_aqua","","","","test_go_to_aqua_page_from_aqua",""
"passed","Tue Jan 31 15:13:10 GMT 2023","Tue Jan 31 15:13:11 GMT 2023","903","tests","test_main","","","","test_go_to_gl21_page",""
"passed","Tue Jan 31 15:13:06 GMT 2023","Tue Jan 31 15:13:07 GMT 2023","934","tests","test_main","","","","test_go_to_gl7_page",""
"passed","Tue Jan 31 15:13:14 GMT 2023","Tue Jan 31 15:13:15 GMT 2023","933","tests","test_main","","","","test_go_to_acp1_page",""
"passed","Tue Jan 31 15:12:41 GMT 2023","Tue Jan 31 15:12:43 GMT 2023","1589","tests","test_gl7","","","","test_go_to_acp1_from_gl7",""
"passed","Tue Jan 31 15:12:50 GMT 2023","Tue Jan 31 15:12:51 GMT 2023","1355","tests","test_gl7","","","","test_up_button_gl7",""
"passed","Tue Jan 31 15:11:11 GMT 2023","Tue Jan 31 15:11:12 GMT 2023","1546","tests","test_aqua","","","","test_go_to_main_page_from_aqua",""
"passed","Tue Jan 31 15:12:37 GMT 2023","Tue Jan 31 15:12:38 GMT 2023","1596","tests","test_gl7","","","","test_go_to_gl21_from_gl7",""
