"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 23:12:37 GMT 2023","Thu Mar 16 23:12:38 GMT 2023","1463","tests","test_gl7","","","","test_go_to_acp1_from_gl7",""
"passed","Thu Mar 16 23:12:10 GMT 2023","Thu Mar 16 23:12:10 GMT 2023","835","tests","test_gl21","","","","test_footer_information_gl21",""
"passed","Thu Mar 16 23:11:07 GMT 2023","Thu Mar 16 23:11:08 GMT 2023","923","tests","test_acp1","","","","test_footer_information_acp1",""
"passed","Thu Mar 16 23:11:53 GMT 2023","Thu Mar 16 23:11:55 GMT 2023","1505","tests","test_gl21","","","","test_go_to_aqua_page_from_gl21",""
"passed","Thu Mar 16 23:13:13 GMT 2023","Thu Mar 16 23:13:13 GMT 2023","44","tests","test_main","","","","test_video",""
"passed","Thu Mar 16 23:11:15 GMT 2023","Thu Mar 16 23:11:16 GMT 2023","1312","tests","test_aqua","","","","test_click_on_logo_aqua",""
"passed","Thu Mar 16 23:12:13 GMT 2023","Thu Mar 16 23:12:14 GMT 2023","1043","tests","test_gl21","","","","test_up_button_gl21",""
"passed","Thu Mar 16 23:12:28 GMT 2023","Thu Mar 16 23:12:30 GMT 2023","1342","tests","test_gl7","","","","test_go_to_gl7_from_gl7",""
"passed","Thu Mar 16 23:13:10 GMT 2023","Thu Mar 16 23:13:10 GMT 2023","125","tests","test_main","","","","test_up_button",""
"passed","Thu Mar 16 23:10:56 GMT 2023","Thu Mar 16 23:10:57 GMT 2023","1438","tests","test_acp1","","","","test_go_to_gl7_from_acp1",""
"passed","Thu Mar 16 23:11:11 GMT 2023","Thu Mar 16 23:11:12 GMT 2023","1059","tests","test_acp1","","","","test_up_button_acp1",""
"passed","Thu Mar 16 23:11:34 GMT 2023","Thu Mar 16 23:11:36 GMT 2023","1493","tests","test_aqua","","","","test_go_to_acp1_from_aqua",""
"passed","Thu Mar 16 23:12:57 GMT 2023","Thu Mar 16 23:12:58 GMT 2023","778","tests","test_main","","","","test_go_to_gl7_page",""
"passed","Thu Mar 16 23:12:41 GMT 2023","Thu Mar 16 23:12:41 GMT 2023","826","tests","test_gl7","","","","test_footer_information_gl7",""
"passed","Thu Mar 16 23:12:24 GMT 2023","Thu Mar 16 23:12:26 GMT 2023","1469","tests","test_gl7","","","","test_go_to_aqua_page_from_gl7",""
"passed","Thu Mar 16 23:11:23 GMT 2023","Thu Mar 16 23:11:24 GMT 2023","1312","tests","test_aqua","","","","test_go_to_aqua_page_from_aqua",""
"passed","Thu Mar 16 23:12:05 GMT 2023","Thu Mar 16 23:12:07 GMT 2023","1549","tests","test_gl21","","","","test_go_to_acp1_from_gl21",""
"passed","Thu Mar 16 23:10:52 GMT 2023","Thu Mar 16 23:10:53 GMT 2023","1458","tests","test_acp1","","","","test_go_to_aqua_page_from_acp1",""
"passed","Thu Mar 16 23:13:07 GMT 2023","Thu Mar 16 23:13:07 GMT 2023","42","tests","test_main","","","","test_footer_information_main",""
"passed","Thu Mar 16 23:12:48 GMT 2023","Thu Mar 16 23:12:48 GMT 2023","704","tests","test_main","","","","test_click_on_logo_main",""
"passed","Thu Mar 16 23:11:39 GMT 2023","Thu Mar 16 23:11:39 GMT 2023","823","tests","test_aqua","","","","test_footer_information_aqua",""
"passed","Thu Mar 16 23:11:49 GMT 2023","Thu Mar 16 23:11:51 GMT 2023","1333","tests","test_gl21","","","","test_go_to_main_page_from_gl21",""
"passed","Thu Mar 16 23:11:30 GMT 2023","Thu Mar 16 23:11:32 GMT 2023","1441","tests","test_aqua","","","","test_go_to_gl21_from_aqua",""
"passed","Thu Mar 16 23:12:17 GMT 2023","Thu Mar 16 23:12:18 GMT 2023","1303","tests","test_gl7","","","","test_click_on_logo_gl7",""
"passed","Thu Mar 16 23:12:01 GMT 2023","Thu Mar 16 23:12:03 GMT 2023","1355","tests","test_gl21","","","","test_go_to_gl21_from_gl21",""
"passed","Thu Mar 16 23:12:32 GMT 2023","Thu Mar 16 23:12:34 GMT 2023","1462","tests","test_gl7","","","","test_go_to_gl21_from_gl7",""
"passed","Thu Mar 16 23:12:54 GMT 2023","Thu Mar 16 23:12:55 GMT 2023","769","tests","test_main","","","","test_go_to_aqua_page",""
"passed","Thu Mar 16 23:11:04 GMT 2023","Thu Mar 16 23:11:05 GMT 2023","1330","tests","test_acp1","","","","test_go_to_acp1_from_acp1",""
"passed","Thu Mar 16 23:11:46 GMT 2023","Thu Mar 16 23:11:47 GMT 2023","1368","tests","test_gl21","","","","test_click_on_logo_gl21",""
"passed","Thu Mar 16 23:13:01 GMT 2023","Thu Mar 16 23:13:01 GMT 2023","778","tests","test_main","","","","test_go_to_gl21_page",""
"passed","Thu Mar 16 23:11:57 GMT 2023","Thu Mar 16 23:11:59 GMT 2023","1450","tests","test_gl21","","","","test_go_to_gl7_from_gl21",""
"passed","Thu Mar 16 23:11:19 GMT 2023","Thu Mar 16 23:11:20 GMT 2023","1379","tests","test_aqua","","","","test_go_to_main_page_from_aqua",""
"passed","Thu Mar 16 23:10:43 GMT 2023","Thu Mar 16 23:10:45 GMT 2023","1468","tests","test_acp1","","","","test_click_on_logo_acp1",""
"passed","Thu Mar 16 23:12:20 GMT 2023","Thu Mar 16 23:12:22 GMT 2023","1352","tests","test_gl7","","","","test_go_to_main_page_from_gl7",""
"passed","Thu Mar 16 23:11:42 GMT 2023","Thu Mar 16 23:11:43 GMT 2023","1070","tests","test_aqua","","","","test_up_button_aqua",""
