"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 19 22:36:51 GMT 2023","Sun Feb 19 22:36:52 GMT 2023","1293","tests","test_gl21","","","","test_go_to_main_page_from_gl21",""
"passed","Sun Feb 19 22:36:43 GMT 2023","Sun Feb 19 22:36:44 GMT 2023","1152","tests","test_aqua","","","","test_up_button_aqua",""
"passed","Sun Feb 19 22:36:24 GMT 2023","Sun Feb 19 22:36:25 GMT 2023","1347","tests","test_aqua","","","","test_go_to_aqua_page_from_aqua",""
"passed","Sun Feb 19 22:38:13 GMT 2023","Sun Feb 19 22:38:13 GMT 2023","40","tests","test_main","","","","test_video",""
"passed","Sun Feb 19 22:37:44 GMT 2023","Sun Feb 19 22:37:45 GMT 2023","1041","tests","test_gl7","","","","test_up_button_gl7",""
"passed","Sun Feb 19 22:36:28 GMT 2023","Sun Feb 19 22:36:29 GMT 2023","1424","tests","test_aqua","","","","test_go_to_gl7_from_aqua",""
"passed","Sun Feb 19 22:38:04 GMT 2023","Sun Feb 19 22:38:05 GMT 2023","828","tests","test_main","","","","test_go_to_acp1_page",""
"passed","Sun Feb 19 22:36:01 GMT 2023","Sun Feb 19 22:36:02 GMT 2023","1794","tests","test_acp1","","","","test_go_to_gl21_from_acp1",""
"passed","Sun Feb 19 22:36:20 GMT 2023","Sun Feb 19 22:36:21 GMT 2023","1322","tests","test_aqua","","","","test_go_to_main_page_from_aqua",""
"passed","Sun Feb 19 22:37:48 GMT 2023","Sun Feb 19 22:37:49 GMT 2023","675","tests","test_main","","","","test_click_on_logo_main",""
"passed","Sun Feb 19 22:35:48 GMT 2023","Sun Feb 19 22:35:50 GMT 2023","1412","tests","test_acp1","","","","test_go_to_main_page_from_acp1",""
"passed","Sun Feb 19 22:37:37 GMT 2023","Sun Feb 19 22:37:38 GMT 2023","1416","tests","test_gl7","","","","test_go_to_acp1_from_gl7",""
"passed","Sun Feb 19 22:37:17 GMT 2023","Sun Feb 19 22:37:19 GMT 2023","1326","tests","test_gl7","","","","test_click_on_logo_gl7",""
"passed","Sun Feb 19 22:35:44 GMT 2023","Sun Feb 19 22:35:46 GMT 2023","1575","tests","test_acp1","","","","test_click_on_logo_acp1",""
"passed","Sun Feb 19 22:37:10 GMT 2023","Sun Feb 19 22:37:11 GMT 2023","806","tests","test_gl21","","","","test_footer_information_gl21",""
"passed","Sun Feb 19 22:37:21 GMT 2023","Sun Feb 19 22:37:22 GMT 2023","1308","tests","test_gl7","","","","test_go_to_main_page_from_gl7",""
"passed","Sun Feb 19 22:36:32 GMT 2023","Sun Feb 19 22:36:33 GMT 2023","1397","tests","test_aqua","","","","test_go_to_gl21_from_aqua",""
"passed","Sun Feb 19 22:37:58 GMT 2023","Sun Feb 19 22:37:58 GMT 2023","815","tests","test_main","","","","test_go_to_gl7_page",""
"passed","Sun Feb 19 22:37:14 GMT 2023","Sun Feb 19 22:37:15 GMT 2023","1050","tests","test_gl21","","","","test_up_button_gl21",""
"passed","Sun Feb 19 22:37:06 GMT 2023","Sun Feb 19 22:37:08 GMT 2023","1401","tests","test_gl21","","","","test_go_to_acp1_from_gl21",""
"passed","Sun Feb 19 22:36:36 GMT 2023","Sun Feb 19 22:36:37 GMT 2023","1454","tests","test_aqua","","","","test_go_to_acp1_from_aqua",""
"passed","Sun Feb 19 22:37:51 GMT 2023","Sun Feb 19 22:37:52 GMT 2023","704","tests","test_main","","","","test_go_to_main_page",""
"passed","Sun Feb 19 22:37:25 GMT 2023","Sun Feb 19 22:37:27 GMT 2023","1529","tests","test_gl7","","","","test_go_to_aqua_page_from_gl7",""
"passed","Sun Feb 19 22:36:05 GMT 2023","Sun Feb 19 22:36:07 GMT 2023","1674","tests","test_acp1","","","","test_go_to_acp1_from_acp1",""
